file,gt,pred,wer
bbab8n,bin blue at b eight now,bin blue at b eight now,0.0
bbab9s,bin blue at b nine soon,bin blue at b nine soon,0.0
bbac1a,bin blue at c one again,bin blue at c one again,0.0
bbaczp,bin blue at c zero please,bin blue at c zero please,0.0
bbai2n,bin blue at i two now,bin blue at i two now,0.0
bbai3s,bin blue at i three soon,bin blue at i three soon,0.0
bbai4p,bin blue at i four please,bin blue at i four please,0.0
bbai5a,bin blue at i five again,bin blue at i five again,0.0
bbao6n,bin blue at o six now,bin blue at o six now,0.0
bbao7s,bin blue at o seven soon,bin blue at o seven soon,0.0
bbao8p,bin blue at o eight please,bin blue with o eight please,0.16666666666666666
bbao9a,bin blue at o nine again,bin blue at o nine again,0.0
bbav1s,bin blue at v one soon,bin blue at v one soon,0.0
bbav2p,bin blue at v two please,bin blue at v two please,0.0
bbav3a,bin blue at v three again,bin blue at v three again,0.0
bbavzn,bin blue at v zero now,bin blue at v zero now,0.0
bbbc2n,bin blue by c two now,bin blue by c two now,0.0
bbbc3s,bin blue by c three soon,bin blue by c three soon,0.0
bbbc4p,bin blue by c four please,bin blue by c four please,0.0
bbbc5a,bin blue by c five again,bin blue by c five again,0.0
bbbi6n,bin blue by i six now,bin blue by i six now,0.0
bbbi7s,bin blue by i seven soon,bin blue by i seven soon,0.0
bbbi8p,bin blue by i eight please,bin blue by i eight please,0.0
bbbi9a,bin blue by i nine again,bin blue by i nine again,0.0
bbbp1s,bin blue by p one soon,bin blue by p one soon,0.0
bbbp2p,bin blue by p two please,bin blue by p two please,0.0
bbbp3a,bin blue by p three again,bin blue by p three again,0.0
bbbpzn,bin blue by p zero now,bin blue by p zero now,0.0
bbbv4n,bin blue by v four now,bin blue by v four now,0.0
bbbv5s,bin blue by v five soon,bin blue by v five soon,0.0
bbbv6p,bin blue by v six please,bin blue by v six please,0.0
bbbv7a,bin blue by v seven again,bin blue by v seven again,0.0
bbib4n,bin blue in b four now,bin blue in b four now,0.0
bbib5s,bin blue in b five soon,bin blue in b five soon,0.0
bbib6p,bin blue in b six please,bin blue in b six please,0.0
bbib7a,bin blue in b seven again,bin blue in b seven again,0.0
bbih8n,bin blue in h eight now,bin blue in h eight now,0.0
bbih9s,bin blue in h nine soon,bin blue in h nine soon,0.0
bbii1a,bin blue in i one again,bin blue in i one again,0.0
bbiizp,bin blue in i zero please,bin blue in i zero please,0.0
bbio2n,bin blue in o two now,bin blue in o two now,0.0
bbio3s,bin blue in o three soon,bin blue in o three soon,0.0
bbio4p,bin blue in o four please,bin blue in o four please,0.0
bbio5a,bin blue in o five again,bin blue in o five again,0.0
bbiu6n,bin blue in u six now,bin blue in u six now,0.0
bbiu7s,bin blue in u seven soon,bin blue in u seven soon,0.0
bbiu8p,bin blue in u eight please,bin blue in u eight please,0.0
bbiu9a,bin blue in u nine again,bin blue in u nine again,0.0
bbwc6n,bin blue with c six now,bin blue with c six now,0.0
bbwc7s,bin blue with c seven soon,bin blue with c seven soon,0.0
